Percent of nodes removed,Original Model accuracy,Original Model f1,Retrain from scratch acc,Retrain from scratch f1,Retrain from scratch acc on delete set,Retrain from scratch f1 on delete set,Scrub accuracy,Scrub f1,Scrub accuracy on delete set,Scrub f1 on delete set,MEGU accuracy,MEGU f1,MEGU acc on delete set,MEGU f1 on delete set
0.05,0.8086696562032885,0.8086696267127991,0.8191330343796711,0.8191330432891846,0.7235772357723578,0.7235772609710693,0.8056801195814649,0.8056800961494446,0.7560975609756098,0.7560975551605225,0.8011958146487295,0.8011958003044128,0.7560975609756098,0.7560975551605225
0.1,0.8086696562032885,0.8086696267127991,0.8131539611360239,0.8131539821624756,0.7408906882591093,0.7408906817436218,0.8101644245142003,0.8101644515991211,0.7611336032388664,0.76113361120224,0.8026905829596412,0.8026905655860901,0.7611336032388664,0.76113361120224
0.2,0.8086696562032885,0.8086696267127991,0.8310911808669657,0.8310911655426025,0.7292929292929293,0.7292929291725159,0.8056801195814649,0.8056800961494446,0.7555555555555555,0.7555555701255798,0.804185351270553,0.8041853308677673,0.7555555555555555,0.7555555701255798
0.3,0.8086696562032885,0.8086696267127991,0.8236173393124065,0.8236173391342163,0.7321668909825033,0.7321668863296509,0.8101644245142003,0.8101644515991211,0.756393001345895,0.7563930153846741,0.804185351270553,0.8041853308677673,0.756393001345895,0.7563930153846741
0.4,0.8086696562032885,0.8086696267127991,0.8191330343796711,0.8191330432891846,0.7426841574167508,0.7426841855049133,0.8101644245142003,0.8101644515991211,0.7658930373360242,0.7658930420875549,0.804185351270553,0.8041853308677673,0.7618567103935419,0.761856734752655
0.5,0.8086696562032885,0.8086696267127991,0.820627802690583,0.8206278085708618,0.7401129943502824,0.7401130199432373,0.8056801195814649,0.8056800961494446,0.7691686844229217,0.7691686749458313,0.7997010463378177,0.7997010350227356,0.7675544794188862,0.7675544619560242
